job_id,titles,companies,locations,categorys,subCategories,job_types,salaries,dateposted,datedisplay
73844391,"AI/ML - Siri Language Engineer (Vietnamese), Siri & Information Intelligence",Apple Inc.,Central Region,Science & Technology,"Mathematics, Statistics & Information Sciences",Full time,,2024-01-07T06:37:00Z,30d+ ago
73230770,AI Architect,Helical Solution,Central Region,Information & Communication Technology,Consultants,Full time,,2023-12-06T08:42:00Z,30d+ ago
73738779,[LTA-ITCD] SENIOR / EXECUTIVE AI ENGINEER / AI ENGINEER,Public Service Division,Central Region,Science & Technology,"Mathematics, Statistics & Information Sciences",Full time,,2024-02-14T11:10:00Z,30d+ ago
73669461,Data Science (AI) Manager,TE Connectivity Singapore,Central Region,Engineering,Mechanical Engineering,Full time,,2024-02-11T16:12:00Z,30d+ ago
74253453,Project Officer (Computer Engineering/Computer Science/Electronics Engineering/,Nanyang Technological University,Central Region,Information & Communication Technology,Programme & Project Management,Full time,,2024-03-06T10:35:12Z,14d ago
73404016,Internship - Enhance Reports & Process via Automation AI,Infineon Technologies,Central Region,Information & Communication Technology,Team Leaders,Casual/Vacation,,2024-01-30T16:09:00Z,30d+ ago
73605794,Senior Sales Specialist Lead (AI/ML),Uipath,Central Region,Sales,Account & Relationship Management,Full time,,2024-02-07T11:33:00Z,30d+ ago
74224378,"Research Fellow (Machine Learning in Optimization), ChBE",National University of Singapore,Central Region,Education & Training,Other,Full time,,2024-03-05T07:55:28Z,15d ago
73857659,"Manager / Senior Manager, AI Governance",Public Service Division,Central Region,Information & Communication Technology,Programme & Project Management,Full time,,2024-02-19T15:06:00Z,30d+ ago
72313405,Senior Data Scientist - Applied AI,TIKTOK PTE. LTD.,Central Region,Science & Technology,"Mathematics, Statistics & Information Sciences",Full time,,2023-08-04T23:41:00Z,30d+ ago
73232466,Senior Game Designer (AI),Ubisoft Singapore Pte Ltd,Central Region,Design & Architecture,Web & Interaction Design,Full time,,2023-12-12T19:13:00Z,30d+ ago
